state_code,county_code,action_taken,loan_type,loan_purpose,lien_status,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,occupancy_type,income,debt_to_income_ratio,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_race_1,applicant_race_2,co_applicant_race_1,applicant_sex,denial_reason_1,denial_reason_2,rate_spread_valid,ltv_capped,dti_numeric,label,strata
CT,9110.0,1,1,31,1,1,2,45000.0,8.75,10.79,2.64,2,1,35.0,38,2,5,5,,8,1,10,,True,8.75,38.0,1,1_5
FL,12053.0,1,1,1,1,2,2,335000.0,90.0,7.99,2.162,3,2,98.0,36,1,5,5,,8,1,10,,True,90.0,36.0,1,1_5
NC,37019.0,1,1,1,1,2,2,185000.0,85.0,8.75,2.429,2,1,50.0,44,1,1,5,,5,1,10,,True,85.0,44.0,1,1_5
CA,6081.0,1,1,1,1,2,2,375000.0,75.0,6.499,-0.137,2,1,133.0,30%-<36%,2,2,5,,5,1,10,,False,75.0,33.0,1,1_5
CA,6037.0,3,1,4,2,1,2,105000.0,,,,3,1,172.0,30%-<36%,2,2,4,42,2,2,3,,False,,33.0,0,0_4
MO,29047.0,1,1,1,1,2,2,235000.0,97.0,6.75,0.44,2,1,75.0,47,2,5,5,,8,2,10,,True,97.0,47.0,1,1_5
MI,26033.0,3,1,1,1,2,2,135000.0,104.194,,,3,1,76.0,37,2,1,1,,5,2,3,1,False,104.194,37.0,0,0_1
PA,42071.0,3,1,31,2,1,2,75000.0,79.946,,,3,1,42.0,49,2,5,2,26,8,1,1,,False,79.946,49.0,0,0_2
VA,51790.0,3,1,2,2,1,2,75000.0,43.557,,,3,1,46.0,47,2,2,5,,5,2,7,,False,43.557,47.0,0,0_5
TX,48027.0,3,1,1,1,2,2,305000.0,,,,3,1,,,1,5,1,,8,1,7,,False,,,0,0_1
MO,29095.0,3,1,2,1,1,2,215000.0,52.5,,,3,1,63.0,>60%,2,5,5,,8,2,1,3,False,52.5,65.0,0,0_5
IA,19169.0,1,1,1,1,2,2,205000.0,80.0,6.375,-0.235,2,1,127.0,20%-<30%,2,2,5,,5,1,10,,False,80.0,25.0,1,1_5
ND,38105.0,1,1,1,1,2,1,235000.0,80.0,7.25,,3,3,,,2,5,5,,8,1,10,,False,80.0,,1,1_5
IL,17097.0,1,1,31,1,2,2,595000.0,60.101,7.125,0.431,2,1,559.0,20%-<30%,2,2,5,,5,1,10,,True,60.101,25.0,1,1_5
KY,21037.0,1,1,32,1,2,2,325000.0,67.5,5.5,-0.285,2,1,152.0,20%-<30%,2,5,5,,8,2,10,,False,67.5,25.0,1,1_5
OH,39035.0,1,1,32,2,2,2,65000.0,71.0,12.0,6.084,2,1,48.0,49,2,5,5,,8,1,10,,True,71.0,49.0,1,1_5
WI,55015.0,3,1,32,1,2,2,85000.0,22.0,,,3,1,28.0,>60%,2,5,5,,8,2,1,,False,22.0,65.0,0,0_5
TN,47157.0,3,2,32,1,2,2,235000.0,79.04,,,3,1,67.0,50%-60%,2,5,5,,8,2,3,9,False,79.04,55.0,0,0_5
CA,6037.0,1,1,1,1,2,2,885000.0,83.0,6.25,-0.369,2,1,218.0,39,1,2,5,,5,1,10,,False,83.0,39.0,1,1_5
MD,24003.0,1,1,2,2,2,2,45000.0,52.0,9.0,3.793,2,1,120.0,38,2,5,5,,8,2,10,,True,52.0,38.0,1,1_5
GA,13255.0,3,1,1,1,2,2,295000.0,89.71,,,3,1,32.0,>60%,2,2,5,,5,2,5,1,False,89.71,65.0,0,0_5
MI,26163.0,1,1,1,1,2,2,605000.0,80.0,4.75,-0.858,2,1,158.0,44,2,5,5,,8,1,10,,False,80.0,44.0,1,1_5
FL,12095.0,1,1,1,1,2,2,1655000.0,89.99,6.1,-0.024,2,1,610.0,41,2,2,5,,2,1,10,,False,89.99,41.0,1,1_5
VT,50021.0,3,1,1,1,2,1,215000.0,60.0,,,3,3,1540.0,<20%,2,5,5,,8,1,7,,False,60.0,10.0,0,0_5
TN,47009.0,3,1,2,2,1,2,295000.0,67.281,,,3,1,115.0,>60%,2,5,5,,8,1,1,,False,67.281,65.0,0,0_5
