state_code,county_code,action_taken,loan_type,loan_purpose,lien_status,open_end_line_of_credit,business_or_commercial_purpose,loan_amount,combined_loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,occupancy_type,income,debt_to_income_ratio,applicant_ethnicity_1,co_applicant_ethnicity_1,applicant_race_1,applicant_race_2,co_applicant_race_1,applicant_sex,denial_reason_1,denial_reason_2,rate_spread_valid,ltv_capped,dti_numeric,label,strata
TX,48361.0,1,1,1,1,2,2,85000.0,,8.43,2.411,2,1,84.0,38,2,2,5,,5,2,10,,True,,38.0,1,1_5
IN,18063.0,1,1,2,2,1,2,45000.0,80.0,12.565,4.345,2,1,125.0,30%-<36%,2,5,5,,8,1,10,,True,80.0,33.0,1,1_5
PA,42071.0,1,1,1,1,2,2,155000.0,102.0,7.5,1.428,2,1,57.0,45,2,5,5,,8,2,10,,True,102.0,45.0,1,1_5
PA,42045.0,1,2,1,1,2,2,235000.0,96.5,7.125,1.004,2,1,163.0,44,2,2,5,,5,2,10,,True,96.5,44.0,1,1_5
FL,12057.0,1,1,1,1,2,2,425000.0,43.69,7.125,0.305,3,2,230.0,37,3,5,2,21,8,2,10,,True,43.69,37.0,1,1_2
GA,13199.0,1,2,1,1,2,2,195000.0,100.0,6.875,1.197,2,1,95.0,50%-60%,1,1,5,,5,1,10,,True,100.0,55.0,1,1_5
PA,42017.0,1,3,31,1,2,2,465000.0,,6.5,-0.231,2,1,,,2,2,2,25,5,1,10,,False,,,1,1_2
VA,51059.0,1,1,1,1,2,2,205000.0,65.0,5.99,-0.538,2,1,103.0,20%-<30%,2,5,5,,8,1,10,,False,65.0,25.0,1,1_5
OH,39093.0,1,1,1,1,2,2,135000.0,97.0,6.625,0.44,2,1,41.0,41,2,5,5,,8,2,10,,True,97.0,41.0,1,1_5
CA,6053.0,1,2,4,1,1,2,445000.0,,7.38,,3,1,24.0,,2,5,5,,8,2,10,,False,,,1,1_5
NY,36055.0,1,1,32,1,2,2,215000.0,47.58,5.99,0.598,2,1,137.0,48,2,5,5,,8,2,10,,True,47.58,48.0,1,1_5
KS,20051.0,1,3,1,1,2,2,165000.0,100.0,8.25,1.2,2,1,83.0,20%-<30%,2,5,5,,8,1,10,,True,100.0,25.0,1,1_5
NY,36083.0,1,1,1,1,2,2,265000.0,97.0,7.277,0.876,2,1,90.0,47,2,5,2,5,8,1,10,,True,97.0,47.0,1,1_2
OH,39151.0,3,1,1,1,2,2,305000.0,102.0,,,3,1,128.0,42,2,2,5,,5,1,4,,False,102.0,42.0,0,0_5
FL,12105.0,1,1,1,1,2,2,95000.0,38.358,6.25,-0.1831,2,1,50.0,30%-<36%,2,5,5,,8,1,10,,False,38.358,33.0,1,1_5
SC,45003.0,3,1,1,1,2,2,155000.0,,,,3,1,42.0,>60%,3,5,5,,8,1,3,1,False,,65.0,0,0_5
AL,1101.0,3,1,2,2,1,2,55000.0,55.0,,,3,1,107.0,30%-<36%,2,5,3,,8,1,3,,False,55.0,33.0,0,0_3
WI,55009.0,1,1,31,2,2,2,15000.0,56.382,6.99,0.598,2,1,48.0,45,2,5,5,,8,1,10,,True,56.382,45.0,1,1_5
OH,39001.0,1,1,1,2,2,2,5000.0,101.499,0.0,-6.61,2,1,27.0,39,2,2,5,,5,2,10,,False,101.499,39.0,1,1_5
NJ,34021.0,1,1,1,1,2,2,355000.0,60.0,6.99,0.296,2,1,326.0,40,2,2,5,,5,1,10,,True,60.0,40.0,1,1_5
MI,26049.0,1,1,1,1,2,2,155000.0,97.0,6.625,0.164,2,1,52.0,39,2,5,5,,8,2,10,,True,97.0,39.0,1,1_5
VA,51059.0,1,2,1,1,2,2,555000.0,84.613,6.75,0.646,2,1,185.0,45,2,5,3,,8,2,10,,True,84.613,45.0,1,1_3
TX,48187.0,1,2,1,1,2,2,365000.0,96.5,6.249,0.677,2,1,171.0,50%-60%,2,2,5,,2,2,10,,True,96.5,55.0,1,1_5
MN,27027.0,1,1,1,1,2,2,195000.0,45.176,5.625,-0.376,2,1,124.0,<20%,2,2,5,,5,1,10,,False,45.176,10.0,1,1_5
VA,51127.0,3,1,31,1,2,2,455000.0,53.765,,,3,1,180.0,,2,5,5,,8,1,7,,False,53.765,,0,0_5
MI,26125.0,1,1,32,2,2,2,105000.0,64.782,7.25,7.261,2,1,92.0,45,2,2,3,,3,2,10,,True,64.782,45.0,1,1_3
NY,36103.0,1,1,4,2,1,2,105000.0,52.536,6.99,0.32,2,1,133.0,46,2,5,5,,8,1,10,,True,52.536,46.0,1,1_5
WY,56043.0,1,1,31,1,2,2,95000.0,30.73,8.25,0.949,2,1,124.0,<20%,1,2,5,,5,1,10,,True,30.73,10.0,1,1_5
MI,26163.0,1,1,2,1,1,2,35000.0,27.273,5.99,-2.33,2,1,51.0,20%-<30%,2,5,3,,8,2,10,,False,27.273,25.0,1,1_3
AL,1071.0,1,1,31,1,2,2,175000.0,74.37,6.75,0.55,2,1,62.0,30%-<36%,2,5,1,,8,1,10,,True,74.37,33.0,1,1_1
CA,6055.0,1,1,1,1,2,2,975000.0,75.0,7.875,1.435,2,1,947.0,<20%,2,5,5,,8,1,10,,True,75.0,10.0,1,1_5
IL,17031.0,1,1,4,1,2,2,75000.0,29.0,7.5,0.985,3,3,67.0,49,2,5,5,,8,2,10,,True,29.0,49.0,1,1_5
MO,29113.0,1,1,2,2,1,2,75000.0,87.0,5.95,0.75,2,1,215.0,48,2,5,5,,8,1,10,,True,87.0,48.0,1,1_5
FL,12086.0,1,1,1,1,2,2,655000.0,95.0,5.875,-0.58,2,1,199.0,37,1,1,5,,5,1,10,,False,95.0,37.0,1,1_5
MI,26061.0,1,1,31,1,2,2,85000.0,59.286,6.75,0.252,2,1,31.0,48,2,5,5,,8,2,10,,True,59.286,48.0,1,1_5
OH,39035.0,1,1,4,2,1,2,75000.0,58.51,9.15,0.87,2,1,89.0,42,2,5,5,,8,2,10,,True,58.51,42.0,1,1_5
PA,42011.0,1,1,1,1,2,2,165000.0,97.0,6.5,-0.37,2,1,41.0,36,1,5,5,,8,2,10,,False,97.0,36.0,1,1_5
NC,37071.0,1,2,1,1,2,2,295000.0,96.5,3.75,-1.922,2,1,60.0,49,2,5,3,,8,2,10,,False,96.5,49.0,1,1_3
FL,12011.0,1,1,1,1,2,2,425000.0,70.0,8.5,1.884,2,1,181.0,30%-<36%,2,5,5,,8,1,10,,True,70.0,33.0,1,1_5
OH,39049.0,1,1,32,2,1,2,65000.0,79.48,8.69,0.54,2,1,87.0,36,2,5,3,,8,2,10,,True,79.48,36.0,1,1_3
UT,49051.0,1,1,1,1,2,2,3005000.0,73.171,6.875,-0.544,2,1,704.0,47,2,5,5,,8,1,10,,False,73.171,47.0,1,1_5
FL,12083.0,1,2,32,1,2,2,265000.0,63.173,6.75,0.697,2,1,102.0,47,1,5,5,,8,1,10,,True,63.173,47.0,1,1_5
WA,53005.0,3,3,1,1,2,2,545000.0,,,,3,1,56.0,>60%,1,5,5,,8,1,2,,False,,65.0,0,0_5
WA,53053.0,1,1,1,1,2,2,765000.0,54.65,6.49,-0.199,2,1,184.0,47,1,5,5,,8,1,10,,False,54.65,47.0,1,1_5
NC,37033.0,3,1,1,1,2,2,115000.0,,,,3,1,247.0,<20%,3,3,3,,3,1,6,9,False,,10.0,0,0_3
CA,6073.0,1,1,2,2,2,2,35000.0,18.934,7.65,1.309,2,1,130.0,44,2,5,5,,8,1,10,,True,18.934,44.0,1,1_5
ME,23003.0,1,1,4,2,87,87,15000.0,,,,2,1,69.0,,2,5,5,,8,2,87,,False,,,1,1_5
NC,37165.0,1,2,32,1,2,2,175000.0,70.6,6.75,,2,1,73.0,30%-<36%,2,5,5,,8,1,10,,False,70.6,33.0,1,1_5
WV,54061.0,1,1,1,1,2,1,115000.0,60.0,7.0,,3,3,252.0,30%-<36%,2,2,2,5,2,2,10,,False,60.0,33.0,1,1_2
NH,33011.0,3,1,4,2,2,2,35000.0,,,,3,1,79.0,<20%,2,5,2,23,8,1,7,,False,,10.0,0,0_2
NE,31153.0,1,1,4,2,1,2,55000.0,70.0,9.7,1.56,2,1,171.0,20%-<30%,2,2,5,,5,2,10,,True,70.0,25.0,1,1_5
FL,12057.0,1,1,2,2,1,2,155000.0,79.912,10.25,1.97,2,1,167.0,20%-<30%,2,5,5,,8,1,10,,True,79.912,25.0,1,1_5
CT,9140.0,1,1,1,1,2,2,135000.0,80.0,5.75,-0.824,2,1,80.0,30%-<36%,1,5,4,41,8,1,10,,False,80.0,33.0,1,1_4
WA,53049.0,1,1,4,2,2,2,45000.0,67.0,8.875,3.787,2,1,49.0,40,2,2,5,,5,1,10,,True,67.0,40.0,1,1_5
SC,45091.0,1,1,1,1,2,2,315000.0,93.0,6.99,0.676,2,1,110.0,42,2,5,5,,8,1,10,,True,93.0,42.0,1,1_5
NV,32003.0,1,1,1,1,2,2,2405000.0,60.0,9.125,2.316,2,1,727.0,39,2,5,5,,8,1,10,,True,60.0,39.0,1,1_5
AL,1103.0,1,1,32,1,2,2,105000.0,48.0,7.875,0.6,2,1,60.0,>60%,2,2,5,,5,1,10,,True,48.0,65.0,1,1_5
OK,40135.0,1,1,31,1,87,87,75000.0,,,,2,1,67.0,,2,5,5,,8,1,87,,False,,,1,1_5
CA,6085.0,1,1,31,1,2,2,835000.0,52.592,5.875,-0.231,2,1,227.0,30%-<36%,2,5,2,,8,1,10,,False,52.592,33.0,1,1_2
KS,20169.0,3,3,32,1,2,2,225000.0,100.0,,,3,1,30.0,>60%,2,5,1,,8,1,1,,False,100.0,65.0,0,0_1
CO,8069.0,3,1,1,1,2,2,445000.0,77.207,,,3,1,110.0,46,2,2,5,,5,1,5,,False,77.207,46.0,0,0_5
KY,21111.0,1,1,1,1,2,2,265000.0,46.619,6.375,-0.468,2,1,191.0,41,2,5,5,,8,2,10,,False,46.619,41.0,1,1_5
FL,12105.0,1,1,1,2,2,2,15000.0,3.248,7.25,0.81,2,1,97.0,<20%,2,2,3,,3,2,10,,True,3.248,10.0,1,1_3
PA,42069.0,1,1,1,1,2,2,325000.0,80.0,6.99,0.207,2,1,149.0,20%-<30%,2,2,5,,5,1,10,,True,80.0,25.0,1,1_5
MN,27123.0,1,1,1,1,2,2,275000.0,73.333,6.875,-0.032,2,1,77.0,40,1,5,5,,8,1,10,,False,73.333,40.0,1,1_5
VA,51700.0,3,1,31,2,1,2,105000.0,85.28,,,3,1,85.0,>60%,2,5,3,,8,1,1,,False,85.28,65.0,0,0_3
VA,51590.0,1,1,1,1,2,2,185000.0,90.0,5.875,0.082,3,2,236.0,20%-<30%,2,2,3,,3,2,10,,True,90.0,25.0,1,1_3
SC,45019.0,3,1,32,1,2,2,1105000.0,64.71,,,3,3,,<20%,2,2,5,,5,1,9,4,False,64.71,10.0,0,0_5
TN,47077.0,1,1,1,1,2,2,155000.0,,9.25,2.742,2,1,67.0,30%-<36%,3,3,5,,5,1,10,,True,,33.0,1,1_5
OR,41039.0,1,2,1,1,2,2,395000.0,96.5,6.375,-0.525,2,1,82.0,43,2,1,5,,5,2,10,,False,96.5,43.0,1,1_5
MI,26065.0,3,1,4,2,2,2,45000.0,83.131,,,3,1,74.0,50%-60%,2,2,3,,3,2,3,,False,83.131,55.0,0,0_3
NC,37101.0,1,3,1,1,2,2,375000.0,100.0,6.125,-0.444,2,1,106.0,37,2,2,5,,5,1,10,,False,100.0,37.0,1,1_5
FL,12011.0,1,1,1,1,2,2,705000.0,70.0,7.25,,3,2,308.0,30%-<36%,1,5,5,,8,1,10,,False,70.0,33.0,1,1_5
NH,33003.0,3,2,32,1,2,2,235000.0,59.18,,,3,1,82.0,38,2,5,5,,8,2,4,7,False,59.18,38.0,0,0_5
OK,40149.0,1,3,1,1,2,2,145000.0,,6.99,0.59,2,1,45.0,30%-<36%,2,5,5,,8,1,10,,True,,33.0,1,1_5
IL,17031.0,3,1,1,2,2,2,5000.0,100.0,,,3,1,57.0,44,2,5,5,,8,2,4,,False,100.0,44.0,0,0_5
KS,20103.0,1,1,2,2,1,2,45000.0,91.875,10.49,2.34,2,1,87.0,41,2,5,5,,8,2,10,,True,91.875,41.0,1,1_5
MI,26093.0,1,1,32,2,2,2,55000.0,70.0,10.625,5.429,2,1,85.0,39,2,5,5,,8,2,10,,True,70.0,39.0,1,1_5
NV,32003.0,1,3,31,1,2,2,435000.0,92.156,5.74,-0.307,2,1,,,2,2,5,,5,1,10,,False,92.156,,1,1_5
OH,39153.0,1,1,32,2,1,2,85000.0,77.25,9.04,0.83,2,1,85.0,47,2,5,5,,8,2,10,,True,77.25,47.0,1,1_5
TN,47065.0,1,1,32,1,2,2,535000.0,80.0,6.544,-0.164,2,1,269.0,30%-<36%,2,5,5,,8,2,10,,False,80.0,33.0,1,1_5
OH,39055.0,3,1,31,2,1,2,315000.0,72.94,,,3,1,52.0,>60%,2,5,5,,8,1,1,6,False,72.94,65.0,0,0_5
TX,48201.0,1,2,1,1,2,2,285000.0,95.0,7.125,1.087,2,1,134.0,44,1,1,5,,5,2,10,,True,95.0,44.0,1,1_5
UT,49007.0,3,1,2,2,2,2,15000.0,11.333,,,3,3,38.0,<20%,2,5,5,,8,1,4,,False,11.333,10.0,0,0_5
OR,41017.0,1,1,2,2,1,2,175000.0,78.13,8.0,0.43,2,1,215.0,30%-<36%,2,5,5,,8,1,10,,True,78.13,33.0,1,1_5
OR,41017.0,3,1,1,1,2,2,125000.0,,,,3,1,65.0,41,2,5,5,,8,2,9,,False,,41.0,0,0_5
CA,6087.0,3,1,32,2,2,2,95000.0,33.195,,,3,1,70.0,>60%,2,5,5,,8,1,1,,False,33.195,65.0,0,0_5
HI,15001.0,1,2,1,1,2,2,285000.0,96.5,5.25,-0.239,2,1,58.0,50%-60%,2,5,4,41,8,2,10,,False,96.5,55.0,1,1_4
IN,18163.0,3,1,4,1,2,2,45000.0,21.276,,,3,1,60.0,20%-<30%,2,5,5,,8,1,3,,False,21.276,25.0,0,0_5
FL,12057.0,1,1,4,1,2,2,115000.0,18.062,7.625,1.124,2,1,101.0,30%-<36%,2,5,5,,8,1,10,,True,18.062,33.0,1,1_5
VA,51009.0,3,1,2,2,1,2,55000.0,174.164,,,3,1,65.0,30%-<36%,2,5,5,,8,2,4,,False,105.0,33.0,0,0_5
FL,12117.0,3,1,2,2,1,2,55000.0,79.702,,,3,1,135.0,30%-<36%,2,2,5,,5,2,7,,False,79.702,33.0,0,0_5
IL,17031.0,3,1,31,1,2,2,185000.0,58.871,,,3,1,75.0,48,1,5,5,,8,1,3,1,False,58.871,48.0,0,0_5
NV,32003.0,1,3,1,1,2,2,515000.0,100.0,6.625,-0.122,2,1,139.0,43,2,5,2,5,8,1,10,,False,100.0,43.0,1,1_2
LA,22015.0,1,1,1,1,2,2,145000.0,100.0,7.125,0.528,2,1,110.0,37,2,2,3,,3,2,10,,True,100.0,37.0,1,1_3
MS,28033.0,1,1,31,1,87,87,65000.0,,,,3,3,216.0,,2,2,5,,2,1,87,,False,,,1,1_5
MI,26045.0,1,1,2,2,2,2,35000.0,81.573,7.69,1.37,2,1,141.0,30%-<36%,2,2,5,,5,1,10,,True,81.573,33.0,1,1_5
MN,27053.0,1,1,1,1,2,2,255000.0,85.0,5.625,-0.458,2,1,167.0,<20%,2,5,5,42,8,1,10,,False,85.0,10.0,1,1_5
NV,32003.0,1,2,1,1,2,2,365000.0,96.5,5.75,-0.199,2,1,66.0,50%-60%,2,5,2,,8,2,10,,False,96.5,55.0,1,1_2
TX,48201.0,1,2,1,1,2,2,275000.0,96.5,7.125,1.511,2,1,143.0,50%-60%,1,1,5,,5,1,10,,True,96.5,55.0,1,1_5
IN,18097.0,1,2,1,1,2,2,295000.0,96.466,5.25,-0.683,2,1,102.0,42,2,5,1,3,8,2,10,,False,96.466,42.0,1,1_1
MI,26099.0,1,1,4,2,1,2,385000.0,75.0,6.24,-1.36,2,1,737.0,<20%,2,5,5,,8,1,10,,False,75.0,10.0,1,1_5
FL,12081.0,3,1,1,1,2,2,245000.0,71.0,,,3,1,57.0,>60%,1,5,5,,8,1,1,,False,71.0,65.0,0,0_5
CA,6081.0,1,1,1,1,2,2,1475000.0,54.33,6.125,-0.194,2,1,377.0,49,2,2,2,22,2,2,10,,False,54.33,49.0,1,1_2
WA,53053.0,3,1,4,1,1,2,155000.0,43.29,,,3,1,40.0,>60%,2,5,5,,8,1,9,,False,43.29,65.0,0,0_5
IL,17089.0,3,2,32,1,2,2,295000.0,73.0,,,3,1,78.0,50%-60%,2,5,3,,8,2,1,,False,73.0,55.0,0,0_3
CO,8041.0,1,1,4,2,1,2,405000.0,45.7,7.75,0.15,2,1,310.0,20%-<30%,2,1,4,,2,1,10,,True,45.7,25.0,1,1_4
TN,47065.0,3,1,4,2,1,2,105000.0,81.429,,,3,1,176.0,49,2,2,5,,5,2,3,,False,81.429,49.0,0,0_5
MN,27037.0,1,3,1,1,2,2,425000.0,,6.5,-0.38,2,1,117.0,44,2,5,3,,8,1,10,,False,,44.0,1,1_3
KY,21157.0,3,1,1,1,2,2,125000.0,,,,3,1,0.0,>60%,2,5,5,,8,2,1,2,False,,65.0,0,0_5
PA,42133.0,1,1,1,1,2,2,295000.0,95.0,6.99,0.497,2,1,120.0,37,2,5,5,,8,1,10,,True,95.0,37.0,1,1_5
IN,18089.0,3,2,1,1,2,2,235000.0,95.0,,,3,1,0.0,<20%,1,5,5,,8,1,2,1,False,95.0,10.0,0,0_5
FL,12086.0,3,1,32,1,2,2,85000.0,35.0,,,3,1,27.0,>60%,1,1,5,,5,2,3,1,False,35.0,65.0,0,0_5
AR,5119.0,1,1,2,2,2,2,45000.0,92.261,7.5,1.439,2,1,41.0,44,2,5,3,,8,2,10,,True,92.261,44.0,1,1_3
MI,26163.0,1,1,2,2,1,2,75000.0,56.616,8.49,0.33,2,1,216.0,30%-<36%,2,5,5,,8,2,10,,True,56.616,33.0,1,1_5
MI,26081.0,1,1,31,1,2,2,145000.0,47.0,5.125,-0.05918,2,1,83.0,20%-<30%,2,5,5,,8,1,10,,False,47.0,25.0,1,1_5
VA,51650.0,1,1,1,2,2,2,5000.0,100.0,7.25,0.823,2,1,49.0,39,2,5,3,,8,2,10,,True,100.0,39.0,1,1_3
TX,48121.0,1,1,31,2,2,2,55000.0,79.984,7.5,1.085,3,1,135.0,47,2,5,5,,8,1,10,,True,79.984,47.0,1,1_5
MI,26099.0,1,1,1,1,2,2,335000.0,95.0,6.998,0.518,2,1,73.0,48,2,2,5,,5,1,10,,True,95.0,48.0,1,1_5
MI,26093.0,1,1,4,2,2,2,55000.0,10.994,7.99,1.441,2,1,379.0,20%-<30%,2,2,5,,5,2,10,,True,10.994,25.0,1,1_5
NJ,34007.0,1,3,1,1,2,2,355000.0,100.0,6.999,0.644,2,1,90.0,50%-60%,2,5,5,,8,1,10,,True,100.0,55.0,1,1_5
AZ,4021.0,3,2,1,1,2,2,305000.0,80.989,,,3,1,59.0,50%-60%,2,5,2,23,8,1,1,,False,80.989,55.0,0,0_2
AL,1073.0,3,1,1,1,2,2,135000.0,,,,3,1,107.0,20%-<30%,1,1,5,,6,2,6,,False,,25.0,0,0_5
NC,37025.0,1,1,1,1,2,1,245000.0,75.0,7.625,,3,3,262.0,20%-<30%,2,2,5,,5,1,10,,False,75.0,25.0,1,1_5
FL,12075.0,3,2,31,1,2,2,225000.0,94.26,,,3,1,85.0,44,2,2,5,,5,2,4,,False,94.26,44.0,0,0_5
CA,6081.0,1,1,2,2,1,2,115000.0,14.126,10.55,2.37,2,1,283.0,<20%,2,2,5,,5,1,10,,True,14.126,10.0,1,1_5
TN,47149.0,1,1,1,1,2,2,335000.0,32.918,6.375,-0.845,2,1,,30%-<36%,2,2,5,,2,1,10,,False,32.918,33.0,1,1_5
AL,1015.0,1,2,1,1,2,2,195000.0,96.5,5.575,0.445,2,1,52.0,44,2,5,5,,8,1,10,,True,96.5,44.0,1,1_5
OK,40027.0,1,1,1,1,2,2,155000.0,61.0,6.375,-0.5,2,1,127.0,20%-<30%,2,5,5,,8,2,10,,False,61.0,25.0,1,1_5
IA,19011.0,1,1,1,1,87,87,45000.0,,,,2,3,113.0,,2,5,5,,8,1,87,,False,,,1,1_5
KS,20005.0,1,2,32,1,2,2,75000.0,80.0,6.25,0.401,2,1,78.0,46,2,5,5,,8,1,10,,True,80.0,46.0,1,1_5
VA,51550.0,3,1,2,2,2,2,205000.0,97.462,,,3,1,138.0,50%-60%,2,2,5,,5,1,3,1,False,97.462,55.0,0,0_5
KS,20103.0,3,1,31,1,2,2,125000.0,70.58,,,3,3,131.0,38,2,5,3,,8,1,7,,False,70.58,38.0,0,0_3
IL,17019.0,3,1,4,2,2,2,55000.0,60.402,,,3,1,140.0,50%-60%,2,5,2,21,8,1,9,,False,60.402,55.0,0,0_2
VA,51800.0,1,1,1,1,2,2,335000.0,75.0,8.5,2.128,3,2,900.0,<20%,2,5,5,,8,1,10,,True,75.0,10.0,1,1_5
CA,6017.0,1,1,1,1,2,2,1225000.0,80.0,7.25,0.471,3,2,514.0,30%-<36%,1,5,5,,8,1,10,,True,80.0,33.0,1,1_5
ND,38017.0,3,1,4,1,2,2,55000.0,26.01,,,3,1,30.0,50%-60%,2,5,5,,8,2,1,3,False,26.01,55.0,0,0_5
NC,37067.0,3,1,4,1,1,2,45000.0,,,,3,1,38.0,42,2,5,2,,8,1,3,,False,,42.0,0,0_2
NJ,34007.0,3,1,2,1,1,1,105000.0,25.32,,,3,3,36.0,>60%,2,5,2,,8,1,1,4,False,25.32,65.0,0,0_2
CA,6013.0,1,1,1,1,2,2,175000.0,,9.25,4.032,2,1,76.0,43,2,5,5,,8,2,10,,True,,43.0,1,1_5
NJ,34019.0,1,2,32,1,1,2,135000.0,32.0,8.33,,3,1,26.0,,2,5,5,,8,2,10,,False,32.0,,1,1_5
GA,13227.0,1,1,32,1,2,2,235000.0,58.0,6.99,0.758,2,1,60.0,44,2,5,5,,8,1,10,,True,58.0,44.0,1,1_5
CA,6019.0,1,1,1,1,2,2,435000.0,95.0,6.375,-0.015,2,1,100.0,46,2,2,2,,2,1,10,,False,95.0,46.0,1,1_2
PA,42003.0,3,1,2,2,1,2,205000.0,66.37,,,3,1,80.0,>60%,2,5,2,26,8,2,1,,False,66.37,65.0,0,0_2
UT,49051.0,1,1,1,1,2,2,695000.0,75.0,6.4,-0.4623,3,2,561.0,36,1,2,5,,5,1,10,,False,75.0,36.0,1,1_5
WV,54089.0,1,2,31,1,2,2,185000.0,52.49,6.25,0.413,2,1,62.0,49,2,5,5,,8,1,10,,True,52.49,49.0,1,1_5
WA,53033.0,1,1,1,1,2,2,705000.0,79.0,6.375,-0.20889,2,1,237.0,20%-<30%,2,5,5,,8,1,10,,False,79.0,25.0,1,1_5
WA,53033.0,3,1,1,1,2,2,1295000.0,75.0,,,3,1,339.0,47,2,3,2,22,6,1,1,,False,75.0,47.0,0,0_2
NY,36059.0,3,1,31,2,1,2,525000.0,78.12,,,3,1,134.0,>60%,2,2,2,,2,2,1,3,False,78.12,65.0,0,0_2
CA,6037.0,3,2,1,1,2,2,205000.0,96.5,,,3,1,138.0,30%-<36%,1,1,5,,1,2,4,,False,96.5,33.0,0,0_5
ME,23027.0,1,3,32,1,2,2,285000.0,100.0,6.125,-0.326,2,1,68.0,50%-60%,2,5,5,,8,1,10,,False,100.0,55.0,1,1_5
LA,22031.0,1,1,1,1,2,2,115000.0,97.0,7.25,1.355,2,1,86.0,20%-<30%,2,2,5,,5,2,10,,True,97.0,25.0,1,1_5
CA,6111.0,3,1,2,2,1,2,75000.0,82.06,,,3,1,200.0,48,1,1,1,,6,2,4,,False,82.06,48.0,0,0_1
OH,39109.0,1,1,2,2,2,2,55000.0,46.62,9.5,2.84,2,1,143.0,30%-<36%,2,2,5,,5,2,10,,True,46.62,33.0,1,1_5
PA,42079.0,1,1,2,1,2,2,75000.0,20.0,7.0,-0.009,2,1,143.0,20%-<30%,2,2,5,,5,2,10,,False,20.0,25.0,1,1_5
AZ,4021.0,1,1,32,1,2,1,165000.0,49.231,7.375,,3,3,,,1,5,2,27,8,2,10,,False,49.231,,1,1_2
AZ,4019.0,3,2,31,1,2,2,155000.0,,,,3,1,42.0,<20%,2,5,5,,8,1,7,,False,,10.0,0,0_5
MD,24003.0,1,1,31,2,1,2,205000.0,71.589,6.49,-1.67,2,1,356.0,38,2,5,5,,8,2,10,,False,71.589,38.0,1,1_5
HI,15003.0,3,3,1,1,2,2,1105000.0,100.0,,,3,1,182.0,50%-60%,2,1,4,43,2,2,5,,False,100.0,55.0,0,0_4
FL,12015.0,1,1,1,1,2,2,255000.0,85.0,7.375,0.676,2,1,141.0,20%-<30%,2,5,5,,8,2,10,,True,85.0,25.0,1,1_5
NY,36085.0,1,1,1,1,2,2,515000.0,95.0,6.125,0.028,2,1,203.0,20%-<30%,1,2,5,,5,1,10,,True,95.0,25.0,1,1_5
WA,53033.0,1,1,1,1,2,2,485000.0,80.0,7.125,0.928,2,1,344.0,30%-<36%,3,3,5,,6,1,10,,True,80.0,33.0,1,1_5
FL,12073.0,1,3,1,1,2,2,285000.0,100.0,7.25,0.585,2,1,123.0,50%-60%,2,5,3,,8,1,10,,True,100.0,55.0,1,1_3
PA,42079.0,1,1,1,1,2,2,705000.0,100.0,7.125,0.199,2,1,443.0,20%-<30%,2,2,5,,5,1,10,,True,100.0,25.0,1,1_5
WI,55105.0,1,1,32,1,2,1,135000.0,57.45,8.5,,3,3,157.0,,2,5,5,,8,1,10,,False,57.45,,1,1_5
MN,27037.0,1,1,1,1,2,2,175000.0,67.308,6.5,-0.215,2,1,55.0,47,2,5,5,,8,2,10,,False,67.308,47.0,1,1_5
NY,36085.0,3,1,2,2,1,2,175000.0,86.44,,,3,1,146.0,>60%,2,5,2,21,8,2,1,4,False,86.44,65.0,0,0_2
VA,51165.0,3,1,1,1,2,2,675000.0,80.0,,,3,1,204.0,47,2,5,5,,8,2,3,,False,80.0,47.0,0,0_5
OR,41017.0,1,1,2,1,1,2,105000.0,10.101,8.49,0.17,2,1,0.0,46,2,2,5,,5,2,10,,True,10.101,46.0,1,1_5
CA,6037.0,1,1,32,2,2,2,55000.0,63.434,7.625,1.656,2,1,263.0,30%-<36%,2,2,5,,5,1,10,,True,63.434,33.0,1,1_5
TX,48439.0,1,1,1,1,2,2,415000.0,80.0,6.875,0.071,2,1,105.0,41,2,5,5,,8,1,10,,True,80.0,41.0,1,1_5
MO,29189.0,1,1,4,2,1,2,65000.0,88.0,8.74,1.04,2,1,87.0,30%-<36%,2,5,5,,8,1,10,,True,88.0,33.0,1,1_5
NM,35047.0,3,1,1,1,2,2,175000.0,,,,3,1,46.0,>60%,1,5,5,,8,2,3,1,False,,65.0,0,0_5
OH,39113.0,1,1,1,1,2,2,145000.0,80.0,6.875,0.835,2,1,47.0,20%-<30%,2,2,5,,5,2,10,,True,80.0,25.0,1,1_5
FL,12105.0,1,2,1,1,2,2,295000.0,96.5,4.75,-1.541,2,1,64.0,50%-60%,14,5,3,,8,2,10,,False,96.5,55.0,1,1_3
NY,36057.0,3,1,2,1,1,2,75000.0,82.353,,,3,1,170.0,20%-<30%,2,2,5,,5,1,3,,False,82.353,25.0,0,0_5
VA,51003.0,1,1,31,1,2,2,655000.0,65.0,5.0,-0.567,2,1,363.0,30%-<36%,2,2,2,22,2,1,10,,False,65.0,33.0,1,1_2
CA,6085.0,1,1,31,1,2,2,1055000.0,82.78,6.5,0.127,2,1,353.0,42,2,5,2,21,8,1,10,,True,82.78,42.0,1,1_2
MO,29097.0,3,1,32,1,2,2,95000.0,81.448,,,3,1,56.0,30%-<36%,2,5,5,,8,1,4,,False,81.448,33.0,0,0_5
